Year,Program,Status,Score
2023,Climate Change ,Submitted,B
2023,Forests ,Submitted,B- B- B- B-
2023,Water Security ,No Response,F
2022,Climate Change ,Submitted,B
2022,Forests,Submitted,Not Scored
2022,Water Security ,No Response,F
2021,Climate Change ,Submitted,A-
2021,Forests ,Submitted,C C C C
2021,Water Security ,Submitted,Not Scored
2020,Climate Change ,Submitted,A
2020,Forests ,Submitted,C C C C
2020,Water Security ,Submitted,C
2019,Climate Change ,Submitted,A
2019,Forests ,Submitted,C C C C
2019,Water Security ,Submitted,C
2018,Climate Change ,Submitted,A-
2018,Forests ,No Response,F F F F
2018,Water ,Submitted,C
2017,Climate Change ,Submitted,B
2017,Forests ,No Response,F F F F
2017,Water ,Submitted,D-
2016,Climate Change ,Submitted,B
2016,Forests ,Declined to participate,Not Available
2016,Water ,Submitted,Not Available
2015,Climate Change ,Submitted,B 96
2015,Forests ,Declined to participate,Not Available
2015,Water ,Submitted,Not Available
2014,Climate Change,Submitted,A 98
2014,Forests ,Declined to participate,Not Available
2014,Water ,Submitted,Not scored
2013,Climate Change ,Submitted,A- 94
2013,Forests ,Declined to participate,Not Available
2013,Water ,Submitted,Not scored
2012,Climate Change ,Submitted,B 86
2012,Forests ,No Response,Not Available
2012,Water ,Information Provided,Not applicable
2011,Climate Change ,Submitted,B 85
2011,Water ,Declined to participate,Not applicable
2010,Climate Change ,Submitted,B 86
2010,Water ,Information Provided,Not applicable
